交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-04-01 09:29:03.738540,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793477486685065216,4200000074201804019674521122,WX000000072643,odbfdwabcikuVBzDhStChaHWZ9IQ,weixin.MICROPAY,交易,BOC_DEBIT,CNY,1000,0,,,,,,厦门市第二医院门诊充值,无,0,0,1000,,,,,
2018-04-01 09:05:59.530042,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793454263528460288,4200000074201804019677929232,WX000000072615,odbfdwYqIzf8edh3zRZP_xI-XlRQ,weixin.MICROPAY,交易,CFT,CNY,44,0,,,,,,厦门市第二医院门诊充值,无,0,0,44,,,,,
2018-04-01 10:00:12.200036,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793508831775821824,4200000074201804019684892930,WX000000072696,odbfdwSj-0yBDa1Pll-ruBCx9E0U,weixin.NATIVE,交易,CFT,CNY,5000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,5000,,,,,
2018-04-01 11:04:04.729765,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793573133459263488,4200000074201804019701018881,WX000000072783,odbfdweEH-G2ux5BNxQEn04HQzT4,weixin.MICROPAY,交易,ICBC_DEBIT,CNY,10000,0,,,,,,厦门市第二医院门诊充值,无,0,0,10000,,,,,
2018-04-01 12:48:17.627674,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793678037784334336,4200000074201804019741441265,WX000000072848,odbfdwf1FUKObhh7jpFvYLviIUjc,weixin.NATIVE,交易,CFT,CNY,20000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,20000,,,,,
2018-04-01 11:45:59.521472,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793615322067898368,4200000074201804019792768050,WX000000072816,odbfdwcYwACqt2GntgB8sMgetJNQ,weixin.NATIVE,交易,CFT,CNY,10000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,10000,,,,,
2018-04-01 12:45:06.346591,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793674827463528448,4200000074201804019818596273,WX000000072845,odbfdwf3XUeysUhr9WbsS0_TZ31o,weixin.NATIVE,交易,CFT,CNY,2000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,2000,,,,,
2018-04-01 13:18:26.981211,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793708391089442816,4200000074201804019852856984,WX000000072855,odbfdwUX6x4hGsO-zbKg0V_SiXWY,weixin.NATIVE,交易,ICBC_DEBIT,CNY,20000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,20000,,,,,
2018-04-01 15:40:19.674602,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793851211435610112,4200000074201804019943767681,WX000000072968,odbfdwckxotSbRfU3xlWvQ5Q-0_k,weixin.NATIVE,交易,ICBC_DEBIT,CNY,20000,14,,,,,,厦门市第二医院门诊微信充值,无,0,0,20000,,,,,
2018-04-01 02:38:56.864915,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793064651878436864,4200000075201804019509643986,WX000000072336,odbfdwbRLvoyqojMibhVljYV9v08,weixin.MICROPAY,交易,CFT,CNY,5000,0,,,,,,厦门市第二医院门诊充值,无,0,0,5000,,,,,
